"date","title","warmup_time","warmup","main_time","main","cooldown_time","cooldown","objective_general","objective_specific","observations"
"2026-03-10","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 01 - adaptacao fisica e fundamentos - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: toque, manchete e base defensiva | Bloco tatico controlado: nocoes iniciais de rodizio e funcao | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver adaptacao fisica e fundamentos no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: toque, manchete e base defensiva | Fisico: forca geral, core e mobilidade | Tatico: nocoes iniciais de rodizio e funcao | Sistema: 5x1.","Fase: Base. Tema: adaptacao fisica e fundamentos. Jump target: baixo. RPE alvo: 4-5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-03-12","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 01 - adaptacao fisica e fundamentos - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: nocoes iniciais de rodizio e funcao | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver adaptacao fisica e fundamentos no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: toque, manchete e base defensiva | Fisico: forca geral, core e mobilidade | Tatico: nocoes iniciais de rodizio e funcao | Sistema: 5x1.","Fase: Base. Tema: adaptacao fisica e fundamentos. Jump target: baixo. RPE alvo: 4-5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-03-17","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 02 - controle de bola e introducao funcional - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: levantamento, recepcao e ataque basico | Bloco tatico controlado: funcao do levantador e transicao simples | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver controle de bola e introducao funcional no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: levantamento, recepcao e ataque basico | Fisico: forca unilateral, aterrissagem e coordenacao | Tatico: funcao do levantador e transicao simples | Sistema: 5x1.","Fase: Base. Tema: controle de bola e introducao funcional. Jump target: baixo-moderado. RPE alvo: 5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-03-19","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 02 - controle de bola e introducao funcional - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: funcao do levantador e transicao simples | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver controle de bola e introducao funcional no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: levantamento, recepcao e ataque basico | Fisico: forca unilateral, aterrissagem e coordenacao | Tatico: funcao do levantador e transicao simples | Sistema: 5x1.","Fase: Base. Tema: controle de bola e introducao funcional. Jump target: baixo-moderado. RPE alvo: 5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-03-24","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 03 - fundamentos sob deslocamento - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: bloqueio, defesa e contra-ataque | Bloco tatico controlado: organizacao ofensiva inicial | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver fundamentos sob deslocamento no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: bloqueio, defesa e contra-ataque | Fisico: forca geral, agilidade e core | Tatico: organizacao ofensiva inicial | Sistema: 5x1.","Fase: Base. Tema: fundamentos sob deslocamento. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-03-26","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 03 - fundamentos sob deslocamento - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: organizacao ofensiva inicial | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver fundamentos sob deslocamento no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: bloqueio, defesa e contra-ataque | Fisico: forca geral, agilidade e core | Tatico: organizacao ofensiva inicial | Sistema: 5x1.","Fase: Base. Tema: fundamentos sob deslocamento. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-03-31","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 04 - integracao fisica-tecnica - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: ataque, recepcao-levantamento-ataque | Bloco tatico controlado: organizacao por posicao | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver integracao fisica-tecnica no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: ataque, recepcao-levantamento-ataque | Fisico: forca + pliometria leve | Tatico: organizacao por posicao | Sistema: 5x1.","Fase: Base / Consolidacao. Tema: integracao fisica-tecnica. Jump target: moderado. RPE alvo: 4-5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-04-02","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 04 - integracao fisica-tecnica - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: organizacao por posicao | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver integracao fisica-tecnica no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: ataque, recepcao-levantamento-ataque | Fisico: forca + pliometria leve | Tatico: organizacao por posicao | Sistema: 5x1.","Fase: Base / Consolidacao. Tema: integracao fisica-tecnica. Jump target: moderado. RPE alvo: 4-5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-04-07","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 05 - forca maxima introdutoria - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: levantamento e ataque | Bloco tatico controlado: entradas do 5x1 | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver forca maxima introdutoria no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: levantamento e ataque | Fisico: forca maxima de base | Tatico: entradas do 5x1 | Sistema: 5x1.","Fase: Desenvolvimento. Tema: forca maxima introdutoria. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-04-09","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 05 - forca maxima introdutoria - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: entradas do 5x1 | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver forca maxima introdutoria no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: levantamento e ataque | Fisico: forca maxima de base | Tatico: entradas do 5x1 | Sistema: 5x1.","Fase: Desenvolvimento. Tema: forca maxima introdutoria. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-04-14","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 06 - bloqueio e transicao - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: bloqueio, defesa e cobertura | Bloco tatico controlado: defesa-ataque no 5x1 | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver bloqueio e transicao no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: bloqueio, defesa e cobertura | Fisico: potencia inicial e desaceleracao | Tatico: defesa-ataque no 5x1 | Sistema: 5x1.","Fase: Desenvolvimento. Tema: bloqueio e transicao. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-04-16","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 06 - bloqueio e transicao - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: defesa-ataque no 5x1 | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver bloqueio e transicao no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: bloqueio, defesa e cobertura | Fisico: potencia inicial e desaceleracao | Tatico: defesa-ataque no 5x1 | Sistema: 5x1.","Fase: Desenvolvimento. Tema: bloqueio e transicao. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-04-23","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 07 - potencia e jogo condicionado - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: sistema com leitura situacional | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver potencia e jogo condicionado no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: saque, recepcao e ataque | Fisico: forca + potencia inicial | Tatico: sistema com leitura situacional | Sistema: 5x1.","Fase: Desenvolvimento. Tema: potencia e jogo condicionado. Jump target: moderado. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento. Semana ajustada pelo feriado de 21/04."
"2026-04-28","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 07 - potencia e jogo condicionado - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: saque, recepcao e ataque | Bloco tatico controlado: sistema com leitura situacional | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver potencia e jogo condicionado no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: saque, recepcao e ataque | Fisico: forca + potencia inicial | Tatico: sistema com leitura situacional | Sistema: 5x1.","Fase: Desenvolvimento. Tema: potencia e jogo condicionado. Jump target: moderado. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento. Semana ajustada pelo feriado de 21/04."
"2026-04-30","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 08 - consolidacao do 5x1 - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: 5x1 mais estavel | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver consolidacao do 5x1 no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: organizacao ofensiva e bolas por zona | Fisico: velocidade e deslocamento | Tatico: 5x1 mais estavel | Sistema: 5x1.","Fase: Desenvolvimento. Tema: consolidacao do 5x1. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-05-05","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 08 - consolidacao do 5x1 - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: organizacao ofensiva e bolas por zona | Bloco tatico controlado: 5x1 mais estavel | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver consolidacao do 5x1 no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: organizacao ofensiva e bolas por zona | Fisico: velocidade e deslocamento | Tatico: 5x1 mais estavel | Sistema: 5x1.","Fase: Desenvolvimento. Tema: consolidacao do 5x1. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-05-07","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 09 - salto e ataque - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: transicao rapida | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver salto e ataque no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: ataque e bloqueio | Fisico: forca + pliometria | Tatico: transicao rapida | Sistema: 5x1.","Fase: Potencia especifica. Tema: salto e ataque. Jump target: moderado-alto. RPE alvo: 6-7. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
