"date","title","warmup_time","warmup","main_time","main","cooldown_time","cooldown","objective_general","objective_specific","observations"
"2026-05-12","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 09 - salto e ataque - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: ataque e bloqueio | Bloco tatico controlado: transicao rapida | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver salto e ataque no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: ataque e bloqueio | Fisico: forca + pliometria | Tatico: transicao rapida | Sistema: 5x1.","Fase: Potencia especifica. Tema: salto e ataque. Jump target: moderado-alto. RPE alvo: 6-7. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-05-14","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 10 - repeticao de acoes explosivas - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: tomada de decisao | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver repeticao de acoes explosivas no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: side-out e contra-ataque | Fisico: potencia e RSA especifica | Tatico: tomada de decisao | Sistema: 5x1.","Fase: Potencia especifica. Tema: repeticao de acoes explosivas. Jump target: moderado-alto. RPE alvo: 6-7. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-05-19","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 10 - repeticao de acoes explosivas - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: side-out e contra-ataque | Bloco tatico controlado: tomada de decisao | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver repeticao de acoes explosivas no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: side-out e contra-ataque | Fisico: potencia e RSA especifica | Tatico: tomada de decisao | Sistema: 5x1.","Fase: Potencia especifica. Tema: repeticao de acoes explosivas. Jump target: moderado-alto. RPE alvo: 6-7. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-05-21","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 11 - pressao de jogo - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: leitura de jogo | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver pressao de jogo no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: saque tatico, recepcao e definicao | Fisico: potencia reativa | Tatico: leitura de jogo | Sistema: 5x1.","Fase: Potencia especifica. Tema: pressao de jogo. Jump target: alto controlado. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-05-26","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 11 - pressao de jogo - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: saque tatico, recepcao e definicao | Bloco tatico controlado: leitura de jogo | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver pressao de jogo no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: saque tatico, recepcao e definicao | Fisico: potencia reativa | Tatico: leitura de jogo | Sistema: 5x1.","Fase: Potencia especifica. Tema: pressao de jogo. Jump target: alto controlado. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-05-28","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 12 - velocidade de execucao - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: maior fluidez no 5x1 | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver velocidade de execucao no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: bolas rapidas, cobertura e definicao | Fisico: potencia especifica | Tatico: maior fluidez no 5x1 | Sistema: 5x1.","Fase: Potencia especifica / transicao pre-competitiva. Tema: velocidade de execucao. Jump target: moderado-alto. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-06-02","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 12 - velocidade de execucao - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: bolas rapidas, cobertura e definicao | Bloco tatico controlado: maior fluidez no 5x1 | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver velocidade de execucao no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: bolas rapidas, cobertura e definicao | Fisico: potencia especifica | Tatico: maior fluidez no 5x1 | Sistema: 5x1.","Fase: Potencia especifica / transicao pre-competitiva. Tema: velocidade de execucao. Jump target: moderado-alto. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-06-09","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 13 - intensidade de jogo - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: side-out e contra-ataque | Bloco tatico controlado: organizacao coletiva sob pressao | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver intensidade de jogo no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: side-out e contra-ataque | Fisico: manutencao de potencia | Tatico: organizacao coletiva sob pressao | Sistema: 5x1.","Fase: Pre-competitiva. Tema: intensidade de jogo. Jump target: moderado. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento. Semana ajustada pelo feriado de 04/06."
"2026-06-11","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 13 - intensidade de jogo - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: organizacao coletiva sob pressao | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver intensidade de jogo no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: side-out e contra-ataque | Fisico: manutencao de potencia | Tatico: organizacao coletiva sob pressao | Sistema: 5x1.","Fase: Pre-competitiva. Tema: intensidade de jogo. Jump target: moderado. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento. Semana ajustada pelo feriado de 04/06."
"2026-06-16","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 14 - bola de definicao - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: ataque, bloqueio e defesa de cobertura | Bloco tatico controlado: momentos decisivos do jogo | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver bola de definicao no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: ataque, bloqueio e defesa de cobertura | Fisico: potencia curta e qualidade | Tatico: momentos decisivos do jogo | Sistema: 5x1.","Fase: Pre-competitiva. Tema: bola de definicao. Jump target: moderado. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-06-18","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 14 - bola de definicao - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: momentos decisivos do jogo | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver bola de definicao no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: ataque, bloqueio e defesa de cobertura | Fisico: potencia curta e qualidade | Tatico: momentos decisivos do jogo | Sistema: 5x1.","Fase: Pre-competitiva. Tema: bola de definicao. Jump target: moderado. RPE alvo: 6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-06-23","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 15 - jogo completo - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: padrao de jogo | Bloco tatico controlado: 5x1 consolidado | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver jogo completo no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: padrao de jogo | Fisico: manutencao com menor volume | Tatico: 5x1 consolidado | Sistema: 5x1.","Fase: Pre-competitiva. Tema: jogo completo. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-06-25","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 15 - jogo completo - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: 5x1 consolidado | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver jogo completo no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: padrao de jogo | Fisico: manutencao com menor volume | Tatico: 5x1 consolidado | Sistema: 5x1.","Fase: Pre-competitiva. Tema: jogo completo. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-06-30","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 16 - manutencao e refinamento - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: saque-recepcao-ataque | Bloco tatico controlado: estabilidade competitiva | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver manutencao e refinamento no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: saque-recepcao-ataque | Fisico: manutencao de potencia | Tatico: estabilidade competitiva | Sistema: 5x1.","Fase: Competitiva. Tema: manutencao e refinamento. Jump target: moderado-baixo. RPE alvo: 5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-07-02","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 16 - manutencao e refinamento - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: estabilidade competitiva | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver manutencao e refinamento no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: saque-recepcao-ataque | Fisico: manutencao de potencia | Tatico: estabilidade competitiva | Sistema: 5x1.","Fase: Competitiva. Tema: manutencao e refinamento. Jump target: moderado-baixo. RPE alvo: 5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-07-07","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 17 - desempenho - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: jogo e situacoes reais | Bloco tatico controlado: leitura, ajuste e confianca | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver desempenho no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: jogo e situacoes reais | Fisico: explosao sem fadiga excessiva | Tatico: leitura, ajuste e confianca | Sistema: 5x1.","Fase: Competitiva. Tema: desempenho. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-07-09","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 17 - desempenho - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: leitura, ajuste e confianca | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver desempenho no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: jogo e situacoes reais | Fisico: explosao sem fadiga excessiva | Tatico: leitura, ajuste e confianca | Sistema: 5x1.","Fase: Competitiva. Tema: desempenho. Jump target: moderado. RPE alvo: 5-6. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-07-14","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 18 - prontidao competitiva - Sessao terca (forca + tecnica integrada)","20 min","Mobilidade dinamica | Ativacao de gluteo e core | Estabilidade tornozelo e ombro | Tecnica curta de toque e manchete","60 min","Forca maxima/geral com multiarticulares | Tecnica integrada: padrao competitivo | Bloco tatico controlado: jogo alvo | Jogo reduzido com criterio tecnico","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver prontidao competitiva no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: padrao competitivo | Fisico: manutencao fina | Tatico: jogo alvo | Sistema: 5x1.","Fase: Competitiva / pico. Tema: prontidao competitiva. Jump target: controlado. RPE alvo: 5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
"2026-07-16","UniBrasil | 17:30-19:00 | 16-99 (Feminino) | ElCartel Feminino | Semana 18 - prontidao competitiva - Sessao quinta (potencia + coletivo/tatico)","20 min","Aquecimento dinamico | Prevencao neuromuscular multicomponente | Pliometria de baixa amplitude | Preparacao tecnico-tatica","60 min","Pliometria e potencia especifica | Coletivo/tatico: jogo alvo | Jogo condicionado em alta intencao | Finalizacao com tomada de decisao","10 min","Mobilidade leve | Respiracao e recuperacao | Registro de session RPE, saltos e dor","Desenvolver prontidao competitiva no contexto do voleibol universitario/adulto com 2 sessoes semanais.","Tecnico: padrao competitivo | Fisico: manutencao fina | Tatico: jogo alvo | Sistema: 5x1.","Fase: Competitiva / pico. Tema: prontidao competitiva. Jump target: controlado. RPE alvo: 5. Monitorar wellness + ACWR semanal. Progressao de saltos cautelosa com enfase em aterrissagem, estabilidade e qualidade de movimento."
